energy_low_keV,energy_high_keV,stage,energy_definition,electron_count,event_count,theta_median_deg,theta_p16_deg,theta_p84_deg,mean_sin_theta,rms_sin_theta,frac_abs_theta_minus_90_lt_10deg,frac_abs_theta_minus_90_lt_20deg,frac_abs_theta_minus_90_lt_30deg,frac_sin_theta_lt_0p25,frac_sin_theta_lt_0p50,frac_sin_theta_lt_0p75
10,15,generated,generated_kinetic_energy,45296,45260,90.191189291,46.903506869,133.014009969,0.78450752906,0.223625318479,0.170390321441,0.342348110208,0.500551925115,0.0317688096079,0.13553073119,0.342083186153
15,20,generated,generated_kinetic_energy,45014,44974,90.0431677676,47.2841611876,133.013743378,0.785260057714,0.223499071782,0.17441240503,0.341049451282,0.502199315768,0.0313902341494,0.134980228373,0.339027858
20,30,generated,generated_kinetic_energy,93574,93331,89.7896021537,46.8739640337,132.629436788,0.784793209164,0.223310379294,0.172238014833,0.34059674696,0.499166435121,0.0318785132622,0.135454292859,0.338769316263
30,40,generated,generated_kinetic_energy,94567,94247,89.9065613723,47.1867321614,132.712169325,0.785705298471,0.223058469265,0.173168229932,0.341123224804,0.501443421067,0.0316918163842,0.133175420601,0.338215233644
40,60,generated,generated_kinetic_energy,189870,188638,90.1211226533,47.229390198,132.846346342,0.785730369383,0.222978540671,0.173913730447,0.343092642334,0.50039500711,0.0314952335809,0.134139147838,0.337741612682
10,15,gas_entry,deposited_energy,7005,6925,92.3443938179,80.0314669479,103.682139911,0.971544852018,0.0557180890656,0.580728051392,0.89107780157,0.959314775161,0.000142755174875,0.0017130620985,0.0147037830121
15,20,gas_entry,deposited_energy,3189,3177,90.9099108341,78.6360677207,103.002968503,0.971270991326,0.0533138724512,0.568516776419,0.881467544685,0.957980558169,0,0.00188146754468,0.0112888052681
20,30,gas_entry,deposited_energy,2262,2255,90.6676771114,77.1371605728,104.700661127,0.961391406196,0.0705047520084,0.519893899204,0.827586206897,0.93457117595,0,0.00221043324492,0.0282935455349
30,40,gas_entry,deposited_energy,944,943,90.9467095733,74.411200608,108.348239069,0.950486403924,0.0761637614054,0.459745762712,0.73093220339,0.898305084746,0,0.0021186440678,0.0317796610169
40,60,gas_entry,deposited_energy,978,977,90.710784385,74.0427101466,107.164299641,0.948887787952,0.0797211727558,0.431492842536,0.754601226994,0.889570552147,0,0.00306748466258,0.040899795501
10,15,contained,deposited_energy,1480,1473,100.691731152,74.3172786133,111.290778621,0.932419795,0.0923106999288,0.272297297297,0.677702702703,0.868918918919,0.000675675675676,0.00608108108108,0.0567567567568
15,20,contained,deposited_energy,713,712,94.6135910471,73.5710824369,107.241063296,0.949011775167,0.0798403549364,0.427769985975,0.754558204769,0.893408134642,0,0.00561009817672,0.0294530154278
20,30,contained,deposited_energy,720,718,90.5084891864,70.5103068504,109.256812383,0.937240756606,0.0982871276461,0.418055555556,0.704166666667,0.863888888889,0,0.00555555555556,0.0625
30,40,contained,deposited_energy,465,465,93.0860799844,73.0933133422,112.346527124,0.938282122843,0.0884500519479,0.391397849462,0.677419354839,0.855913978495,0,0.00430107526882,0.0494623655914
40,60,contained,deposited_energy,585,584,91.6485680727,72.6361364665,109.208652756,0.942322113251,0.0852629172312,0.377777777778,0.716239316239,0.873504273504,0,0.00512820512821,0.0478632478632
10,15,selected,deposited_energy,1480,1473,100.691731152,74.3172786133,111.290778621,0.932419795,0.0923106999288,0.272297297297,0.677702702703,0.868918918919,0.000675675675676,0.00608108108108,0.0567567567568
15,20,selected,deposited_energy,713,712,94.6135910471,73.5710824369,107.241063296,0.949011775167,0.0798403549364,0.427769985975,0.754558204769,0.893408134642,0,0.00561009817672,0.0294530154278
20,30,selected,deposited_energy,720,718,90.5084891864,70.5103068504,109.256812383,0.937240756606,0.0982871276461,0.418055555556,0.704166666667,0.863888888889,0,0.00555555555556,0.0625
30,40,selected,deposited_energy,465,465,93.0860799844,73.0933133422,112.346527124,0.938282122843,0.0884500519479,0.391397849462,0.677419354839,0.855913978495,0,0.00430107526882,0.0494623655914
40,60,selected,deposited_energy,585,584,91.6485680727,72.6361364665,109.208652756,0.942322113251,0.0852629172312,0.377777777778,0.716239316239,0.873504273504,0,0.00512820512821,0.0478632478632
